artist_id,artist_name,artist_handle,page_link,description,invited_by,twitter,instagram,n_following,n_followers
0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,Jesse Walden,jessewldn,https://foundation.app/@jessewldn,variant.fund,,https://twitter.com/jessewldn,,3,54
0xb88ba009241c4ae57A265E8bD1932E41B20e5570,Adam Lisagor,adamlisagor,https://foundation.app/@adamlisagor,sandwich.co,,,,6,135
0x11c75F3480E23755ee25273e1344875499260c6e,Sam Clover,planttdaddii,https://foundation.app/@planttdaddii,"Sam Clover aka PLANTTDADDII is a digital sculptor based in Seattle.
Her work typically involves an energetic blend of flora, fauna, and her own characters.",,https://twitter.com/planttdaddii,https://instagram.com/planttdaddii,15,384
0x7d42611012FDbE366Bf4A0481FC0E1aBf15E245A,Jeff Davis,jeffgdavis,https://foundation.app/@jeffgdavis,Artist / CCO at Art Blocks / Founder at Davis Editions,jeffgdavis,https://twitter.com/jeffgdavis,,20,32
0xfA3A28bc7BEedf3E196B0EfB8804313c285B33dC,ATM,atm,https://foundation.app/@atm,"Dillon ""ATM"" is a new media artist who tells haunting and introspective stories through the use of photography techniques, impressionistic painting styles, and splashes of pop surrealism.",,https://twitter.com/dillonatm,https://instagram.com/dillonatm,32,692
0x7c1ab760a4126E827dD3eD88C2BaF21EE4de5F3B,Aaron Leroy,onderwish,https://foundation.app/@onderwish,"🟨Spreading art across the cosmos 🎨🚀
🟡Working with 3D & GAN
🟡Crypto Artist
🟨Montreal
#NFT #ETH #XTZ #ADA",sergeposters,https://twitter.com/onderwish,,2,281
0x7535Da202d79cA57299918c60C218f9b779AA14c,Mario Klingemann,quasimondo,https://foundation.app/@quasimondo,"Mario Klingemann is an artist working with artificial intelligence, data and code. Considered a pioneer in the use of AI in art his works examine systems, creativity, culture and their perception.",Quasimondo,https://twitter.com/quasimondo,,8,118
0x49a75138db6370d91A74856D5847E57c8454916e,Julien van Dorland,julien,https://foundation.app/@julien,Julien is a 20-year-old digital artist from the Netherlands who uses vivid abstraction to express his thoughts and ideas. ✦ Say hi! ↬ hi@julien.pro,,https://twitter.com/JulienvDorland,https://instagram.com/julienvandorland.art,69,419
0x4d1AeA7b20F04b1F9f18222a5BDA1d380Be567Cd,REO,reo,https://foundation.app/@reo,"REO is a dynamic futurist and synesthete with a unique eye for art, design, fashion, music, and a intuitive ability to work with technology allow him to be a future world builder.",iamlirona,https://twitter.com/thisREO,https://instagram.com/thisreo,73,206
0x03F05017d153aa0e00c3AeC70EE85854c7d4E794,Ryan Hoover,rrhoover,https://foundation.app/@rrhoover,ryanhoover.me,,,,3,34
0xFDDbE64dAb03ff215569cE18780372d1219A7272,Corbin Bell,pixelactivist,https://foundation.app/@pixelactivist,"Ello! Im Corbin.
Art, Design and Photos since 'MyLife.
#NFTart on @rariblecom + @withFND + @knownorigin_io
#OpenToCommisions
Contributor @ The San Franciscan
eSports #CLNCHRacing
カミを発見する",,https://twitter.com/pixelactivist,https://instagram.com/pixel_activist,31,141
0xF6AdB52Dc86370555A46AeAE9a5BDa1613B08892,Cameron Burns,captvart,https://foundation.app/@captvart,I am a 3d artist who loves to tell stories through art,ONDERWISH,https://twitter.com/CaptvArt,,30,1158
0x6f75C1AA5aF5c07eC7fBda31c97079D365a49BD0,RobertMine,robertmine,https://foundation.app/@robertmine,"Japanese American artist combining 2D, 3D, photo, video and motion. Focusing on expressions of the archetypal, spiritual and metaphysical. Los Angeles Based.",RobertMine,https://twitter.com/imrobertmine,,3,54
0x4b91734e98725cED8b9689e327bA76822FbAe2fD,LaTurbo Avedon,laturbo,https://foundation.app/@laturbo,"LaTurbo is an avatar, a virtual artist creating work that emphasizes the practice of nonphysical identity and authorship in the metaverse. Explore their most recent commission via The Whitney Museum.",,https://twitter.com/laturboavedon,,4,146
0x98d8425E4C8a78cd472406BD80DA0C166084dA52,Shindo,shindo,https://foundation.app/@shindo,"Shindo is my crypto alias, he lives inside my artworks and experiment them.",ONDERWISH,https://twitter.com/Shindo3D,https://instagram.com/shindo3d,8,65
0xC5A2f28BAcF1425BFAEA14834486F0e9d0832155,ARC4G,arc,https://foundation.app/@arc,I make stuff to entertain myself,,https://twitter.com/arc4g,,26,1414
0x979975167e62e4dC91271dA00612b18EaBe5b26A,Lovevisuals,lovevisuals,https://foundation.app/@lovevisuals,Technical artist from USA. These are my adventures in 3D.,Captvart,https://twitter.com/lovevisuals2,,19,158
0x8272262B6F5C8B5fE307c99D4524B29F0eeB543e,GMUNK,gmunk,https://foundation.app/@gmunk,www.gmunk.com,,,,13,251
0x71ab2F612871Ac0B404Ac101Ff85e07309eD9ef2,Miron Oski,osaki,https://foundation.app/@osaki,"Digital artist, always exploring new forms and tools,
3d animation
VR/AR",petertarka,https://twitter.com/mironoski,,1,82
0x73d97C30603b73CF4cCdE4934C6027A9599D861D,Weesh,weesh,https://foundation.app/@weesh,"Writer, Filmmaker, Collector. Exercise Your Mind.",xEB4BD5231274aA4C2B97a4fA06bAD9eCFCdad5E0,https://twitter.com/__weesh__,https://instagram.com/__weesh__,94,896
0x188Ba406b0a8624c717eE4BC84ec60175fBd4f2d,Chris Dawson,cd,https://foundation.app/@cd,Motion & 3D Artist.,CD,https://twitter.com/chrstiandawson,https://instagram.com/chrstiandawson,24,204
0x0E6Ff04Cf4B3687AC1c246b50952Ac9C5821835C,Youssef Gamal,rabbit_hole,https://foundation.app/@rabbit_hole,I am 3D artist from the land of the pyramids who love to create any out of the world idea and make it come to life.,mus1tie,https://twitter.com/HoleRenders,,8,203
0xdBB80034de47cAF328E5C85A842969D03fdf8E64,Coin Founder,coinfounder,https://foundation.app/@coinfounder,Visionary Artist and Influencer.,CoinFounder,,,3,10
0x05573688669FB7e4a6bd0E312c07E19373A5A88D,Wobbleman,wobbleman,https://foundation.app/@wobbleman,"I'm an artist trying to make sense of all this.
Excited for the future and the ability to express myself with no limits.",Wobbleman,https://twitter.com/Wobbleman4,https://instagram.com/kevinkuteli,13,102
0x5a418d8bc0C074A4A8fa88d1322dc51Cc1cb9d29,Loop,loopify,https://foundation.app/@loopify,X,,https://twitter.com/Loopifyyy,,12,361
0xB630AbD9a5367763B7CBa316e870c4A54064CC9F,mikegee,mikegee,https://foundation.app/@mikegee,"Co-founder @delighted, designer, developer, musician, digital art collector.",mikegee,https://twitter.com/mikegee,,208,725
0x218E3f2251cbAe96c3C485570e6a47f49d70c459,Waarp,waarp,https://foundation.app/@waarp,"I am Andrea Marcias, 3d Artist based in Italy. I started venturing into 3d graphics only 3 years ago and it's really already a fantastic experience. The best is that this is only the beginning!",claudio,,https://instagram.com/_waarp_,12,174
0xbdd85048Cb3633c7997E4F06bDB932312dce99B3,Zack London,gossipgoblin,https://foundation.app/@gossipgoblin,Gossip Goblin (aka Zack London) is a writer and illustrator specializing in the oft-overlooked realm of goblin art and lore.,feldstein,https://twitter.com/zlondonz,,5,495
0x52BA3bc118089b16641a1d11B5530C5cd8e463c3,Tara Digital Collective,tdcgallery,https://foundation.app/@tdcgallery,taradigitalcollective.com,,,,4,15
0x5F72C0995a9fB66eC69B92Be3ace4b34A6e6cF5E,charles nardin,zeiqh,https://foundation.app/@zeiqh,French 3D Artist,jacques,https://twitter.com/zeiqh_,,16,553
0x975FcAc1B4030ef5b5c319F972634ea6fE757998,Infinite Objects,infiniteobjects,https://foundation.app/@infiniteobjects,we print video,,https://twitter.com/infiniteobjects,https://instagram.com/infiniteobjects,16,170
0x21D5FCa7B5aAeFBb1B571B5c8c239e0F69F859c3,William Conrady,conrady,https://foundation.app/@conrady,Digital / Traditional artist,aluben,https://twitter.com/conradyjw,,5,83
0x6DB40B1656a020e6Dfbe1Ff36a16d8742954aCD8,Impact.,impact,https://foundation.app/@impact,3D artist.,chewystoll,,,0,71
0x32f2266d9deb9425B7CaF348211Ef2858928C627,jd hartley,jd,https://foundation.app/@jd,"hi, i'm jd! entrepreneur, engineering manager, and web developer based in rainy Portland, OR.",,https://twitter.com/jdhartley,,2,32
0xaE1b60528E6B4f050af8FeB69a71A77A00642a7a,Level 11,level11,https://foundation.app/@level11,"I create virtual reality art that distorts viewers perception of reality, space, and the passing of time.",Level11,https://twitter.com/DineenBarry,https://instagram.com/level11vr,21,58
0x60Da3C3042d5838A4744cf1515Ed2ae0C408F93E,Kid_Nickle,kid_nickle,https://foundation.app/@kid_nickle,"I'm a multidisciplinary designer from Baltimore, MD and a collector looking for something new and shiny. I love shapes, nostalgia and anything experimental.",Kid_Nickle,https://twitter.com/Kid_Nickle,,3,6
0xF565965FE615b893D1c5B895f8fb125CD011eFd2,Follow @highdemand,jonanderson,https://foundation.app/@jonanderson,The account attached to this wallet was hacked. PLEASE go follow my new account: @highdemand for all new works!,Conrady,,,7,136
0x9ED5c1B24478f5069fEbd8359A3869F971C365c3,Jah.,jah,https://foundation.app/@jah,"Visual Artist + Filmmaker. I use my influences of Sci-Fi, Graphic Novels, Anime, and Hip Hop to create my abstract universe.",ATM,https://twitter.com/ArtByJah,https://instagram.com/jahmelr,57,339
0xfb40034905B34753b7d74223e496518D43548336,No No No No No,fivetimesno,https://foundation.app/@fivetimesno,"Hello! I'm Douglas, a mostly self-taught artist originally from the US but now living in Manchester, UK. I love finding beauty in glitched, broken, discarded and incongruous things.",,https://twitter.com/FiveTimesNo,https://instagram.com/fivetimesno,45,222
0xC040C7e5Ba06e3F1AB5d1f45cc57Ad3F997CD0a4,Alex Marks,alexmarks3d,https://foundation.app/@alexmarks3d,Alex Marks is a self-taught 3D artist and a night owl.,samprice,https://twitter.com/alexmarks3D,,14,850
0x7d67Bfb1aFaD2e0D046bF77e3249952871ef7Ab2,Jerry Quartz,complete,https://foundation.app/@complete,another creator in the constant pursuit for raw self expression,Complete,https://twitter.com/compIete,https://instagram.com/jerquartz,19,41
0x9a2f8f64F465Edc65103386fFc9312846aeB8939,EKAH,ekah,https://foundation.app/@ekah,3D creator of the morbid and finder of beauty in the darkness.,thedizzyviper,https://twitter.com/EKAH_6,,23,144
0x00BE935745Fd18dCCF66EDa971118967bbec07fa,Tree Tree Tree,treetreetree,https://foundation.app/@treetreetree,"Taiwan born illustrator based in LA🌱Mama Earth’s biggest fan🌷
Co-existing with plant friends while caring for the land ◔ ͜ʖ ◔",treetreetree,,,1,46
0x02C79AC6A4B41737233e6f64f6b2e4cA755fF847,Project XIV,projectxiv,https://foundation.app/@projectxiv,"📍 London, U.K.
⚡️ Digital Creative Team
🌐 Music, Sports & Entertainment
👽 Doing Things Differently Since ‘18",Osaki,https://twitter.com/ProjectXIV_,https://instagram.com/project_xiv,19,85
0xBfb10a854c26bB5c6caF07bFA710A3f4c57C9b77,Overfiend,overfiend,https://foundation.app/@overfiend,"Visceral, grotesque, sexual, humorous, violent. Each creation exploring the human condition.",fesq,https://twitter.com/Overfiend_,https://instagram.com/_overfiend_,4,146
0x479b537C591877B7b6F7a084E9B07D90C4bFf688,Dominik Gümbel,dominikg,https://foundation.app/@dominikg,"Bold lines, flat colors.
I love worldbuilding and easter eggs for people to hunt for.
Working as a concept artist for games and exhibition designer for museums with six years of experience.",baka,https://twitter.com/GuembelDominik,https://instagram.com/dominikguembel,41,128
0x95623c30A50B562d88d1bB43382DB7fe83b6184a,Genuine Human Art,genuinehumanart,https://foundation.app/@genuinehumanart,"Award-winning pixel artist, director, animator.ドット絵. Created rad music videos for GUNSHIP and art for The Midnight, Waveshaper etc. Cyberpunk & synthwave vibes in art about human connection.",jamfactory,https://twitter.com/GenuineHumanArt,,31,163
0xdCDb88F3754B2841093D9348A2D02DF8cf06314C,Thanakron Tandavas,tandavas,https://foundation.app/@tandavas,Spent hours staring at The Starry Night at MoMA.,,https://twitter.com/tandavas,,9,228
0xA7b3F922E1e2Ad432a424C0FE887db9B4F1350Ea,Suryanto,suryanto,https://foundation.app/@suryanto,"I mix brushstrokes with bold text that criticizes, and satirizes.
My new profile is
https://foundation.app/suryanto_nft",areahey,,,14,931
0xC154962F0d6CE9f0271ec377111A7D58Eb0E2b24,Jesperish,jesperish,https://foundation.app/@jesperish,"2D Digital Painter Based in Eindhoven, The Netherlands.",loopify,https://twitter.com/Jesperish,https://instagram.com/jesperish,19,1170
0x486A54B00d40159D9AF1b342e78BcEb01da6BCfD,Chris Lambeth,stun_visual,https://foundation.app/@stun_visual,"Motion designer, photographer, all around creative.",Stun_Visual,https://twitter.com/stun_visual,https://instagram.com/chrislambeth,2,40
0xe703f231aB056eCb99C92a1232cC1020ACFC72f8,colborn,colborn,https://foundation.app/@colborn,museumofcryptoart.com,,,,26,226
0xa7b137E4684e8cF7b3A1958D5CECcab66e590dc0,AXIOM,axiom,https://foundation.app/@axiom,"AXIOM curates experimental NFT drops & experiences ~
WALDEN is a piece created by dreamfibre, curated by AXIOM",,,,4,38
0xB896c515f140efb49BB4EcA5e24Fe2e8090c21E1,Zakalwe_x,zakalwe_x,https://foundation.app/@zakalwe_x,"Zakalwe_x is a UK based artist working across a number of digital mediums. A love of sc-fi and fantasy art fuels the creativity, that and a constant need to draw.",Jah,,,12,60
0x6A3809C6EA601bcC83Bc4903321aB01E1467835A,Skeeva,skeeva,https://foundation.app/@skeeva,"◼ 3D x Digital Clothes x Motion
◼ Clients: Apple, Adidas, Adobe, SpaceX, Sega & more",Zeiqh,https://twitter.com/TheSkeeva,https://instagram.com/skeevaa,11,112
0xc9A72aEb879B09501A6E207d8AcEd11D7B425f7d,xray,xray,https://foundation.app/@xray,Give this profile an upvote so they can receive early access to Foundation’s creator tools.,,https://twitter.com/xray9876543210,https://instagram.com/xray9876543210,80,368
