id,Label,time_start,artist_cat,total_earn,n_sold,x,y,end_time
usually,usually,16,innovators,1192.9258800000002,2,-558.030517578125,-4553.107421875,147
griffinfrazen,,16,innovators,0.0,0,-660.560546875,-4475.3173828125,147
pianoandthefox,pianoandthefox,17,innovators,3896.5463580000005,5,-130.90780639648438,4581.82177734375,147
wonderkatzi,,14,innovators,0.0,0,-149.46011352539062,4486.1298828125,147
zip_visuals,zip_visuals,20,innovators,628.3852119999999,1,-284.9058532714844,5729.408203125,147
peenpoon,,10,innovators,0.0,0,-290.2841491699219,5624.908203125,147
onderwish,onderwish,19,innovators,4207.8765,4,729.7583618164062,290.1827697753906,147
sergeposters,sergeposters,15,innovators,15276.8147,9,954.7633666992188,982.7708740234375,147
helencrispin,helencrispin,19,innovators,1873.5275,2,-1789.4595947265625,-4023.90625,147
sterlingcrispin,sterlingcrispin,16,innovators,22054.169205,10,-1468.61962890625,-4089.70068359375,147
nopattern,nopattern,19,innovators,59833.82556,15,-4570.1328125,2021.1973876953125,147
jeff.kraus,jeff.kraus,1,innovators,13035.004104000001,18,-4695.798828125,1990.794921875,147
iartsometimes,iartsometimes,19,innovators,16823.105,8,-5477.978515625,-2521.5634765625,147
lebeau,lebeau,20,innovators,5803.5848,4,-584.7177734375,2146.75244140625,147
fakito,,20,innovators,0.0,0,906.3421630859375,1053.687255859375,147
gengeomergence,gengeomergence,21,innovators,5780.443,4,4726.74853515625,3575.86376953125,147
jzlabs,jzlabs,13,innovators,17565.9081,14,4873.55810546875,3447.8798828125,147
ra,ra,27,innovators,5563.66346,3,4005.738525390625,3301.01416015625,147
poellll,,12,innovators,0.0,0,4168.70556640625,3203.08642578125,147
younggunmotion,younggunmotion,21,innovators,3157.11616,2,-4340.30126953125,1989.374755859375,147
eclecticmethod,eclecticmethod,20,innovators,7147.01,2,-4473.60546875,1615.738037109375,147
claudio,claudio,21,innovators,7675.53,3,-41.223960876464844,5515.74072265625,147
mitchelleaton,mitchelleaton,21,innovators,3808.349746,4,-2062.97216796875,-3327.2783203125,147
gregcooperrr,gregcooperrr,11,innovators,31851.11938767,10,-1974.516845703125,-3320.701416015625,147
blaze,blaze,25,innovators,30264.183221,25,-626.6631469726562,-4328.193359375,147
jp,jp,25,innovators,491.776442,1,-561.5463256835938,-4436.14697265625,147
mus1tie,mus1tie,22,innovators,11307.95,5,4982.04345703125,1930.0828857421875,147
hannahselene,hannahselene,22,innovators,7589.924800000001,3,-3598.16455078125,3279.1455078125,147
mcginn,mcginn,22,innovators,481.8759,1,-4142.0244140625,-4436.88330078125,147
hyam,hyam,0,innovators,60103.04731999999,19,-4107.2197265625,-4550.9091796875,147
afterfuture,afterfuture,23,innovators,7116.9529999999995,3,128.44903564453125,-622.559326171875,147
iamlirona,iamlirona,20,innovators,76148.5055,8,-387.74896240234375,-228.8772430419922,147
jonas,,23,innovators,0.0,0,-2878.3076171875,4296.94921875,147
seth,seth,19,innovators,9779.667000000001,4,-2848.01953125,4225.828125,147
jacques,jacques,25,innovators,8072.052,3,-4670.7783203125,1672.3780517578125,147
kysajohnson,kysajohnson,24,innovators,2257.407933,2,3557.598388671875,-5029.71826171875,147
iuri,iuri,24,innovators,2663.59346,5,3567.005859375,-3110.47314453125,147
raphaeld,raphaeld,25,innovators,292.046,1,4568.90771484375,2718.811767578125,147
nicholas,nicholas,15,innovators,1844.727548,3,4591.5361328125,2616.220703125,147
khyatitrehan,khyatitrehan,25,innovators,17686.209027000004,7,-667.78369140625,-2920.34033203125,147
davidportebeckefeld,davidportebeckefeld,5,innovators,25274.303699999997,7,-1000.8931884765625,-2942.3203125,147
natehill,natehill,25,innovators,12244.538883,4,-2028.4205322265625,-3000.565673828125,147
younggalaxy,,25,innovators,0.0,0,3325.177978515625,-2304.671630859375,147
presstube,presstube,18,innovators,5129.8791,2,3341.885498046875,-2233.5478515625,147
ertdfgcvb,ertdfgcvb,25,innovators,2709.196,1,3653.667236328125,-1899.4200439453125,147
maxschramp,,25,innovators,0.0,0,-536.0808715820312,-4371.76611328125,147
wescream,wescream,31,innovators,16044.186969999999,7,-909.0657958984375,-3188.817626953125,147
jah,jah,25,innovators,8146.618,3,-2786.983154296875,-42.07969284057617,147
tyson,tyson,26,innovators,1414.554,1,-5194.3583984375,-1716.2730712890625,147
nicolassassoon,nicolassassoon,21,innovators,73312.81060999999,17,-5301.31201171875,-1798.0986328125,147
aaronpenne,aaronpenne,26,innovators,2651.6549999999997,1,4907.1748046875,3516.441162109375,147
yunglils,,26,innovators,0.0,0,-1092.342529296875,-2844.891357421875,147
doublea,doublea,26,innovators,14085.191590685,5,1085.4688720703125,-156.34573364257812,147
jonathon,,27,innovators,0.0,0,-669.8092041015625,-4595.41552734375,147
durrylord,durrylord,26,innovators,2234.5914399999997,4,-878.0413208007812,-2808.45166015625,147
shindo,shindo,27,innovators,1542.782,3,1015.403564453125,46.32366943359375,147
oj,oj,27,innovators,1874.94675,2,-3670.5654296875,-4447.50390625,147
vojomojo,vojomojo,13,innovators,5377.5988,4,-3762.828369140625,-4449.07763671875,147
james,,27,innovators,0.0,0,-273.9807434082031,5970.53369140625,147
kate,kate,24,innovators,916.1323299999999,2,-278.4130859375,6021.5126953125,147
jpanart,jpanart,27,innovators,2266.908912,5,244.8504180908203,2372.870361328125,147
pirator,,27,innovators,0.0,0,-1136.44482421875,-2929.07666015625,147
reo,reo,27,innovators,12091.381000000001,5,-710.6533203125,-181.38058471679688,147
waltondesign,waltondesign,27,innovators,2047.621,2,-5058.64794921875,848.4105224609375,147
jeremybooth,jeremybooth,27,innovators,17064.842,7,-1649.554931640625,5347.29296875,147
savagedogs,savagedogs,15,innovators,29371.971300000005,14,-1623.563720703125,5144.6796875,147
ykermoreno,ykermoreno,27,innovators,1941.00301,3,-489.1049499511719,-294.89031982421875,147
optimist,optimist,27,innovators,43126.549329,5,1256.8289794921875,-4985.8740234375,147
rk,rk,17,innovators,1782.83,1,1305.3760986328125,-4936.2744140625,147
qfilmstv,qfilmstv,27,innovators,35718.444729999996,17,3365.546142578125,-3705.98681640625,147
