total_spending_usd,artist_id,artist_name,n_collection,collected_artists,page_link,twitter
3206520.8018779997,3FMusic,Farzin,144,cosplay;persia;tekin;nikifeijen;koceilachougar;keremcgrc;hamedazizi;linus_dahlgren_;mondo;mika;kristelbechara;sainthooman;kajdax;one;wescream;nikifeijen;elicafegallery;artisans;dnssnk;savagedogs;ludo;rayrasol;tekin;newrafael;irem_bztk;iamlirona;visualizevalue;symkinmark;walleater;keremcgrc;yasinylcu;tahseen;sagittariusgallery;rishirajsinghs;loopo;bellart;alivla;salavat_fidai;yoshisodeoka;voxel_png;one;akira_;madmaraca;cavidmdw;elicafegallery;hosseinzare;mia;metinakcakoca;kevinroose;whitehotmagazine;vi;draino;disastergirl;hamedazizi;hosseinzare;persia;linus_dahlgren_;sergemarshen;tommo;cosplay;cryptogal81;vi;cosplay;persia;keyonchrist;newrafael;nnimrodd;julious;ally;ok_mrv;prasadbhatart;hamedazizi;tahseen;leylaemektar;theviralmusic;persia;nataliafabia;yasinylcu;danielmercadante;yungjake;sainthooman;tncyart;zach;nnimrodd;dariaprostova;julious;madmaraca;one;nonamedartist;nonamedartist;cavidmdw;hamedazizi;tamvfx;brosmind;sergemarshen;iamlirona;vi;bosslogic;hosseinzare;hichkas;sainthooman;constantdullaart;one;salavat_fidai;ebrahimnia;mpkoz;yasinylcu;mondo;christophe_tritz;sergemarshen;persia;apereira;vel;sergemarshen;sergemarshen;haccac;simonhaidukart;yungjake;jamlex;tonybabel;cg_fella_;mika;oizo3000;brunocerboni;eddievisual;sainthooman;laina;fredrik_rattzen;realorganicflowers;photified;zach;rachaellic;newrafael;erikmusin;benjaminnazon;allisonharvard;basique;neoliptus;jasontichy;allisonharvard;pablorochat;denof_f;farbo;ianmcque,https://foundation.app/3FMusic,https://twitter.com/3fmusic
1172914.9843610001,mondo,Amir,48,volny;victorior;amrit;nik_yousefi;arashnegahban;alexvideofx;nopattern;lachlan;arefehnorouzi;haftkhani;persia;kiani;salavat_fidai;cryptoblue;khashayar;volny;ismailkadercan;nnimrodd;negar;miladghasemi;yumyum;r0yart;volny;prasadbhatart;raws;shok;prasadbhatart;etherbrian;muhcine;mickey;microbians;marcelocantu;rubenalvarez;gianmarcogiordani;ebrahimnia;roogomes;etherbrian;marcelocantu;eboy;dayman;oveck;kaiwan;raminnasibov;problockchain;bosslogic;yusufy;ilina;rizacankumas,https://foundation.app/mondo,https://twitter.com/mondoir
784889.88,z10n,z10n,2,almuth;pak,https://foundation.app/z10n,
626114.7816319999,888,888,9,digital_pavlov;ale_who_creator;aliass;kozuka;nachoakanacho;hamiandcheese;jrcanest;fractalmotion;jenue,https://foundation.app/888,
313696.08,diogenes,Diogenes,2,mirante;fvckrender,https://foundation.app/diogenes,
283858.83999999997,artoninternet,AOI,11,mika;mika;neverasleep;neverasleep;neverasleep;neverasleep;neverasleep;ravivora;aphextwin;carlabatley;zeiqh,https://foundation.app/artoninternet,
250619.67305699998,kodavista,Koda Vista,6,kozuka;lostpixels;michaelpage;hollowswoodsman;lostpixels;jamesjeanart,https://foundation.app/kodavista,
231744.20201399998,krybharat,Bharat Krymo,51,kenanozcan;tu_illustratu;pierrekleinhouse;pierrekleinhouse;robbins;igor;caravaggio;emty01;jamesalfie;oftheyear;raminnasibov;katietorn;artofleina;unsungillusionist;ollorens;arturfalcao;hosseinzare;emty01;thedink;borispelcerart;andra;arturfalcao;taranmaxim;ralucabararu;artofleina;signalnoise;matvoyce;jamesalfie;jeffhandesign;chrisguyot;bovk;ralucabararu;eddieapollo;motionpunk;scorpiondagger;scorpiondagger;michaelpage;itsdevansh;travisragsdale;igor;iuri;darioigp;shahub;mattworks;baku;ollorens;ravivora;jscheier;hellomrcolor;signalnoise;michaelamariawartbichler,https://foundation.app/krybharat,
218706.79843499992,Aito,Aito,144,kstruve;rabotnik02;nikilesunshine;thillustrator;k-art;mlstudios;artsygamex;marek;pixelactivist;tasteminty;anna_v;logankurtz;kokenunezworks;vzcek;robinf;kafein;annette;cosmoboxez;dianapugach;rizacankumas;jlmaxcy;jlmaxcy;alexey_v_film;jlmaxcy;jop;justasillycat;cullencolors;alexey_v_film;paleorex;chaorld;plume;stargazearts;6elatin;danielstagner;pohleroid;dianaesinclair;fivetimesno;joeythephotographer;rizacankumas;anocam;papabearded;leylaemektar;_jeffnicholas_;eyesteethandflesh;ronan;mubblegum;stubbsy;iconicshapes;roogomes;nicole;charlscharls;asianjunkies;jessesoleil;bxdzn;slashiro;zarism;strangecintia;sasshhaaaa;anna_v;greenpanther;montela;klepikovadaria;makodzn;atm;niko;maxxschz;danlysenko;shinyluv;bxdzn;dharmatography;teto;jlmaxcy;spancs;l4artiste;knikxknok;nathanabauman;dharmatography;vsrat;nebenzu;artsygamex;niall;100mind;iy;aluben;yassa;becka;selaykarasu;n;nukie;jamiem;nickb10;luissimo;erksenia;visualswithsam;1600miai;visualswithsam;nathanabauman;elec;vwmeadows;ayhan;flxzee;jhonsbeltran;samj;yagizkocabiyik;tyleross;jacksheartt;fridawhy;lisannehaack;horomox;motionetic;nikolamne;barakato;realtimer;joshwarner;selaykarasu;motionetic;jakehue_;liboar;visualpotions;surrealistshay;feltzine;logankurtz;torybryant20;numan;atm;janhoffmann;cryptopom;jke;judreamdesign;bryanclavel;aosmhor;markee;shinyluv;cliffballin;nicoleruggiero;nicoleruggiero;princelail;benabstract;fccview;artermira;swnsng;hexangel616;tuschay;yassa,https://foundation.app/Aito,
201429.71699600006,NFTgirl,NFTGirl,0,,https://foundation.app/NFTgirl,
188841.70825700002,norcal_guy,norcal_guy,104,artofcrixtoveredwin;qfilmstv;perpetual_cgi;noealz;anocam;cw;hemeon;anocam;elenalitver;zhuk;lisannehaack;anocam;agk42;cw;anocam;oanadu;noealz;dotstolines;jeremybooth;cnnnr;zhuk;maini;19tones;alexameade;alexameade;vel;klepikovadaria;dreddnova;qfilmstv;ektz_;hemeon;olva;nopattern;axshay;klepikovadaria;healingvisions;oanadu;arnokiss;griff;raid71;volny;sekani;mzkvisuals;yagizkocabiyik;markweaver;elenalitver;dreddnova;healingvisions;chaske;fedosart;klepikovadaria;chriswahl;jarvinart;3n19ma;rvrsplay;duncanrogoff;axshay;andreaspreis;metinakcakoca;_brianmorris_;jarvinart;aleyartist;laserlewdude;chriswahl;_marklindner_;tektober;tonyskeor;rosalvomelo;_brianmorris_;eboy;nenado666;andreaspreis;maini;eclecticmethod;_brianmorris_;andreaspreis;bloomjr;anveshdunna;lvcidartt;nopattern;fedosart;andreaspreis;jaxsonpohlman;ankitkapoor;fraserdavidson;healingvisions;signalnoise;jamfactory;timriopelle;nopattern;fraserdavidson;timboelaars;dougy;jeffhandesign;griff;dougy;timriopelle;pixelactivist;nopattern;raccoonnook;onderwish;doublea;sloppyj44;jamfactory,https://foundation.app/norcal_guy,
174882.36597400004,veritaskami,veritaskami,55,allo;allo;allo;anocam;onhel;ally;artofcrixtoveredwin;rolzay;kedarthesage;buymyartbeforeidie;nedo;agk42;artofcrixtoveredwin;anocam;allo;blake;blake;blake;theartofpri;artofcrixtoveredwin;dianaesinclair;davidbenzal;junglesymbol;anocam;artsygamex;mypandashallfly;dashxcrash;8bithiphop;zak_krevitt;hemisveer;shihanwashere;luistoledo;jayt;allo;anocam;jordanlloyd;shihanwashere;luluxxx;allo;aaronricketts;cryptoblue;allo;axellim;cryptoblue;scott_visuals;allo;allo;jaimejones;paulsnijder;littleshrow;aaronricketts;gabrieldeanroberts;richtu;richtu;obake_ai,https://foundation.app/veritaskami,https://twitter.com/veritaskami
170879.117317,y_kymin,Matt,18,justinmaller;markmalta;oscarpettersson;rolzay;deekaymotion;blunt_action;flight404;no-conform;musketon;mattey;redoxium;markusgonser3d;michaelgreen;jazsi;savagedogs;baka;gregcooperrr;younggunmotion,https://foundation.app/y_kymin,
